0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:16 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:17 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:18 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
